CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Segment
12346,326,1,77183.6,3,0.5536294599687452,3.1532282155283715,Fidèles
12347,2,7,4310.0,2,1.9768912933524745,0.07128512243422248,Premium / Champions
12348,75,4,1797.24,3,0.7680240487803413,0.23685607880439052,Fidèles
12349,19,1,1757.55,3,0.19094604509469895,-0.6677532725556741,Fidèles
12350,310,1,334.4,1,-2.024218812007952,1.377398861880037,À risque / Perdus
12352,36,8,2506.04,2,1.6555125379088949,0.2579126603863305,Premium / Champions
12353,204,1,89.0,1,-2.15421821582058,0.05516131793660161,À risque / Perdus
12354,232,1,1079.4,1,-1.0762023065383468,1.0474910383476606,À risque / Perdus
12355,214,1,459.4,1,-1.405652476448236,0.6335716865931968,À risque / Perdus
12356,23,3,2811.43,3,1.033872135032655,-0.18259154715674147,Fidèles
12357,33,1,6207.67,3,0.7391413468191441,-0.16592764442427085,Fidèles
12358,2,2,1168.06,3,0.444058753485565,-0.7584373325067213,Fidèles
12359,58,4,6310.03,3,1.4631128575220238,0.4659229258011916,Fidèles
12360,52,3,2662.06,3,0.8670877919801141,0.05447495188677105,Fidèles
12361,287,1,189.9,1,-2.188211875175066,1.0068341735062036,À risque / Perdus
12362,3,10,5226.23,2,2.35696859352653,0.27993718014764446,Premium / Champions
12363,110,2,552.0,0,-0.4433165721387665,-0.03961688052572683,Occasionnels / Nouveaux
12364,8,4,1313.1,3,0.9386705928622509,-0.4431257150083069,Fidèles
12365,291,2,641.38,1,-1.2448489787846986,1.5875306360133767,À risque / Perdus
12367,4,1,168.9,0,-0.8775193671112003,-1.5018607133883224,Occasionnels / Nouveaux
12370,51,4,3541.94,3,1.2150787906230065,0.23106914366212272,Fidèles
12371,45,2,1887.96,3,0.4705164403527006,-0.23824904638538622,Fidèles
12372,72,3,1298.04,3,0.41998027823777434,0.013356215586849022,Fidèles
12373,311,1,364.6,1,-1.9869601892980209,1.4120739864909724,À risque / Perdus
12374,25,1,742.9300000000001,0,-0.25805061378833044,-0.8740920487962187,Occasionnels / Nouveaux
12375,11,2,457.5,0,-0.056390992228427125,-0.9613239716100044,Occasionnels / Nouveaux
12377,315,2,1628.12,1,-0.9064970233602224,2.077244541621797,À risque / Perdus
12378,130,1,4008.62,3,0.05692437252526527,0.5503995895458356,Fidèles
12379,82,2,852.24,0,-0.09628133446313322,-0.15390381532494493,Occasionnels / Nouveaux
